Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
0,2079014373,5,1.0,,0,0,0,2023-03-14,These are the only pimple patches I’ve used that actually work on hormonal acne.,Best Pimple Patches,medium,blue,normal,,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
1,12631885517,4,1.0,,0,0,0,2023-02-08,"One of my ingrown hair turned inflamed and sore. I put this patch on overnight, and next day inflammation calmed down. I saw most of the gunk was concentrated near “mouth” so it was easier to extract rather than squeeze and cause discoloration. Highly recommended.",It works!,mediumTan,brown,combination,black,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
2,2321761961,5,1.0,1.0,1,0,1,2023-02-05,"I have tried 10 different acne/blemish patches, even Hero & Wellie, these Dr. Jart work the best for a large breakout!I only use them on swollen, deep or large breakouts, like a Cyst or Pustule. I clean my face with my normal routine /exfoliation, then apply the patch. I try to get the longest amount of use possible out of them, putting it on around 6-7pm and wearing it till the morning. I make sure that I lightly press the micro tips into the blemish, to ensure that it stays on but also to get the treatment into the skin. I have had breakouts disappear in 12hrs. Don’t pick at the breakout before hand. Make sure your skin is clean before applying them, if there is any oils you run the risk of it not sticking. I wouldn’t use these for everyday breakouts, just large ones that are tender or have a lot of swelling... these are the best. The other brands do not fully zap those and you need to do a couple rounds of patches, these knock it out with one patch.The other small blemish/acne dots are what I would recommend for common breakouts, small whiteheads.",Good for a large or painful breakout! Sleep in it!,,hazel,combination,blonde,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
3,1380382883,4,1.0,,0,0,0,2023-01-24,"Love these for my mid-size breakouts, specifying the size only because the micro tips help with the swelling surface area!!",Micro tips are a plus!!,light,brown,combination,black,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
4,8871759068,4,1.0,1.0,1,0,1,2023-01-15,"Best so far - though still not particularly effective. Works well on “not yet out” blemishes, useless once the blemish is there",,,,,,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
5,1329183381,1,0.0,1.0,3,0,3,2022-12-19,Not worth it. They arent effective and you can buy way better ones on amazon.,,fair,blue,normal,blonde,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
6,5552475859,5,1.0,1.0,4,0,4,2022-11-03,"I purchased these originally because I love Dr. Jart products, and I found the blemish patches to work great for me - but only on specific types of acne. When I have large hormonal blemishes that you can feel under the skin along my jawline, I put one of these on it as it starts to show above the skin, and the next morning you either can’t feel the acne at all, or it’s almost completely gone when it normally would have been in full force. These are expensive, but I only have to use one per blemish for one night ... I also have regularly found them for $8 at M / TJ.",Worth the money compared to other patches!,light,green,oily,blonde,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
7,6152128389,5,1.0,1.0,6,0,6,2022-08-31,"I will be the first to say that the price on these is a lot, but for what they do? They’re unbeatable. I get deep and painful nodules thanks to stress/hormones/etc, the type that left alone can be almost a month start to finish. These patches speed up the healing process SO MUCH. They make it easy to take care of those spots! They raise the nodule to the surface, drain it, and help prevent scarring. One of these followed by a more basic hydrocolloid patch cuts the healing time down to three days, it’s absolutely insane.I will say if you’re expecting these to perform like a hydrocolloid patch, there are less pricy ones on the market. I like using these in conjunction with COSRX for the best results. If you’re looking to avoid salicylic acid like me, these are a great alternative to the Peace Out ones. I think the reduced healing time, comfort of wear, and great end result make these worth the splurge to keep on hand for your really bad spots.",Not your momma's acne dot!,light,brown,combination,brown,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
8,1298593082,5,1.0,1.0,3,0,3,2022-08-20,"Both my husband (!) and I have used the dark spot patches on some stubborn benign skin growths (“barnacles of aging“) that we used to have frozen off. I had one spot that would be gone for a year and then come back - after a course of six of these, it completely disappeared. My husband had one on his forehead that was 1/4 of an inch high - it took several courses for his, but shrank it to the point where we can barely see it anymore. I plan to have a long chat with my dermatologist as to why the heck these were so effective, but they were. No soreness, redness or any other adverse effects.",Surprisingly effective on stubborn dark spots,light,blue,normal,brown,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
9,8664488720,2,0.0,1.0,2,0,2,2022-08-18,I wish I had read the reviews before purchasing this. It’s so darn expensive for the 6 patches you get (and I thought Hero brand was pricey)! I left these patches on overnight and there was no difference in the swelling or redness of my cystic acne. It didn’t suck any sebum out that I could tell. Absolutely disappointing. Do yourself a favor and buy any other brand than these. Even the cheap ones work better than this. Would not purchase again.,Waste of Money,fair,brown,dry,blonde,P442857,Focuspot Micro Tip Patches,Dr. Jart+,20.0
